序号,姓名,单位,性别,职务,职称,参加工作时间,出生日期,身份证,基本工资,职务工资,岗位津贴
1,孙家龙,A部门,男,经理,高工,1985-01-01,1966-08-15,110101196608150015,800,450,500
2,张卫华,A部门,男,副经理,高工,1995-03-12,1972-01-07,110102197201070010,700,450,300
3,陈文坤,A部门,男,主管,工程师,2000-05-20,1975-11-23,110103197511230034,900,600,500
4,李秀芳,A部门,女,职员,工程师,2005-07-08,1980-03-15,110104198003150022,650,400,200
5,王建国,A部门,男,职员,技师,1998-09-14,1970-06-30,110105197006300051,750,350,300
6,刘美玲,A部门,女,职员,技术员,2010-11-22,1985-12-08,110106198512080048,500,300,100
7,赵志强,A部门,男,主管,工程师,2002-02-18,1978-04-25,110107197804250037,800,500,400
8,周丽华,A部门,女,职员,工程师,2008-06-09,1982-09-18,110108198209180026,600,400,200
9,吴卫东,A部门,男,职员,技师,2003-12-01,1976-02-14,110109197602140059,700,350,250
10,郑雪梅,A部门,女,职员,技术员,2012-04-16,1988-07-30,110110198807300046,480,280,80
11,孙明亮,B部门,男,经理,高工,1988-08-07,1969-05-20,110111196905200017,850,500,550
12,钱建国,B部门,男,副经理,高工,1992-10-25,1971-12-03,110112197112030038,780,480,450
13,冯小燕,B部门,女,主管,工程师,2001-03-08,1979-08-12,110113197908120024,720,450,350
14,陈建华,B部门,男,职员,工程师,2006-09-19,1983-11-05,110114198311050031,650,400,280
15,杨秀兰,B部门,女,职员,技师,1999-05-30,1974-02-28,110115197402280042,680,380,300
16,朱伟明,B部门,男,职员,技术员,2011-07-14,1987-04-16,110116198704160053,520,300,120
17,秦小红,B部门,女,职员,技术员,2013-01-20,1989-10-08,110117198910080068,500,280,100
18,尤建国,B部门,男,主管,工程师,2004-06-03,1980-12-22,110118198012220071,760,480,380
19,许文娟,B部门,女,职员,工程师,2009-11-11,1984-06-14,110119198406140089,620,380,220
20,何志强,B部门,男,职员,技师,2000-08-26,1977-09-09,110120197709090095,710,360,280
21,林晓峰,C部门,男,经理,高工,1983-04-05,1964-11-18,110121196411180013,880,520,600
22,罗美华,C部门,女,副经理,高工,1990-12-12,1968-02-06,110122196802060028,820,500,500
23,高建军,C部门,男,主管,工程师,1996-07-28,1973-07-22,110123197307220031,790,480,420
24,马秀英,C部门,女,职员,工程师,2007-02-14,1981-05-09,110124198105090046,640,400,250
25,方志明,C部门,男,职员,技师,1997-10-08,1975-03-28,110125197503280059,730,380,320
26,袁丽娟,C部门,女,职员,技术员,2014-06-22,1990-01-15,110126199001150062,480,280,90
27,唐国强,C部门,男,职员,技术员,2015-09-03,1991-08-20,110127199108200075,470,270,80
28,薛彩霞,C部门,女,主管,工程师,2003-05-17,1978-11-02,110128197811020088,770,460,400
29,雷建华,C部门,男,职员,工程师,2008-12-09,1982-07-25,110129198207250091,630,390,240
30,贺敏,C部门,女,职员,技师,2002-08-31,1976-12-13,110130197612130108,700,370,290
31,汪大伟,A部门,男,职员,高工,1993-06-07,1974-09-01,110131197409010115,750,450,400
32,丁小红,A部门,女,职员,工程师,2006-03-25,1983-04-12,110132198304120129,620,390,230
33,邓建华,A部门,男,职员,技师,2001-09-13,1979-06-18,110133197906180133,690,370,270
34,冯秀英,A部门,女,职员,技术员,2013-12-05,1988-03-24,110134198803240147,510,290,100
35,潘志强,A部门,男,主管,工程师,2004-11-19,1980-10-30,110135198010300151,780,470,390
36,杜丽芳,A部门,女,职员,工程师,2010-07-07,1986-02-11,110136198602110165,590,370,210
37,戴卫东,A部门,男,职员,技师,1999-04-22,1973-12-05,110137197312050178,720,360,310
38,夏雪梅,A部门,女,职员,技术员,2012-10-14,1989-07-08,110138198907080182,490,280,90
39,钟建国,A部门,男,职员,技术员,2016-02-28,1992-11-16,110139199211160195,460,260,70
40,汪文娟,A部门,女,主管,高工,1991-08-16,1972-05-03,110140197205030203,810,490,480
41,田志强,B部门,男,经理,高工,1986-05-04,1967-08-28,110141196708280217,860,510,580
42,任秀华,B部门,女,副经理,高工,1989-11-27,1970-04-14,110142197004140225,830,490,520
43,姜伟明,B部门,男,主管,工程师,1998-02-09,1976-01-19,110143197601190238,770,470,410
44,范丽娟,B部门,女,职员,工程师,2005-10-06,1982-06-07,110144198206070246,660,410,260
45,方卫东,B部门,男,职员,技师,2002-07-23,1977-11-30,110145197711300259,710,370,300
46,于敏,B部门,女,职员,技术员,2014-09-15,1990-04-02,110146199004020261,480,280,90
47,董建华,B部门,男,职员,技术员,2017-01-08,1993-09-21,110147199309210274,450,250,60
48,袁秀英,B部门,女,主管,工程师,2003-04-01,1978-08-14,110148197808140288,760,460,380
49,蒋志国,B部门,男,职员,工程师,2009-12-18,1983-12-26,110149198312260291,640,400,250
50,沈文娟,B部门,女,职员,技师,2001-06-30,1975-05-17,110150197505170308,690,370,280
51,韦大伟,C部门,男,经理,高工,1984-09-12,1965-12-09,110151196512090311,870,530,590
52,石美华,C部门,女,副经理,高工,1987-03-29,1969-03-22,110152196903220329,840,510,530
53,秦建军,C部门,男,主管,工程师,1995-11-04,1974-07-06,110153197407060333,800,490,430
54,江秀英,C部门,女,职员,工程师,2004-08-21,1980-09-27,110154198009270347,650,410,260
55,严明,C部门,男,职员,技师,2000-01-17,1972-02-15,110155197202150351,740,380,330
56,姜丽芳,C部门,女,职员,技术员,2011-05-03,1987-10-29,110156198710290364,500,290,100
57,范志强,C部门,男,职员,技术员,2013-08-12,1989-01-04,110157198901040377,480,280,90
58,龙彩霞,C部门,女,主管,工程师,2006-02-25,1981-07-19,110158198107190385,750,450,390
59,叶建华,C部门,男,职员,工程师,2008-07-09,1983-03-08,110159198303080391,630,390,250
60,白敏,C部门,女,职员,技师,2003-10-31,1977-06-23,110160197706230404,700,370,300
61,邵大伟,A部门,男,职员,高工,1992-12-07,1973-10-11,110161197310110417,760,460,420
62,史小红,A部门,女,职员,工程师,2007-09-19,1984-08-03,110162198408030428,610,390,240
63,常建华,A部门,男,职员,技师,2002-05-28,1978-02-17,110163197802170431,700,380,290
64,万秀英,A部门,女,职员,技术员,2012-11-11,1988-06-12,110164198806120445,500,290,100
65,武志强,A部门,男,主管,工程师,2005-03-14,1979-09-30,110165197909300458,790,480,400
66,乔丽芳,A部门,女,职员,工程师,2011-01-06,1985-05-25,110166198505250462,580,360,200
67,颜卫东,A部门,男,职员,技师,1998-06-22,1972-11-08,110167197211080475,730,370,320
68,齐雪梅,A部门,女,职员,技术员,2015-04-08,1991-02-14,110168199102140488,470,270,80
69,申建国,A部门,男,职员,技术员,2016-09-01,1992-10-27,110169199210270491,460,260,70
70,康文娟,A部门,女,主管,高工,1990-07-25,1971-07-01,110170197107010509,820,500,490
71,孟志强,B部门,男,经理,高工,1985-02-11,1966-04-19,110171196604190513,880,520,600
72,平秀华,B部门,女,副经理,高工,1988-10-03,1968-12-28,110172196812280528,850,500,540
73,黄伟明,B部门,男,主管,工程师,1997-05-19,1975-08-07,110173197508070531,780,480,420
74,穆丽娟,B部门,女,职员,工程师,2006-01-07,1982-03-16,110174198203160545,670,420,270
75,萧卫东,B部门,男,职员,技师,2001-11-14,1976-07-09,110175197607090559,720,380,310
76,尹敏,B部门,女,职员,技术员,2013-03-21,1989-11-01,110176198911010562,490,290,100
77,慕容建华,B部门,男,职员,技术员,2014-12-04,1990-08-13,110177199008130575,470,280,90
